     194663079         97       2006
     120099824         86       2006
     103472000         89       2006
     102750667         90       2006
     101084963         97       2006
      98447187         88       2006
      94424499         66       2006
      92551503         82       2006
      90156876         79       2006
      90056419         76       2006
      88891371         83       2006
      88273333         85       2006
      87959833         78       2006
      82612866         95       2006
      72585582         70       2006
      71915000         87       2006
      69896141         88       2006
      68228662         80       2006
      63396006         96       2006
      63143000         71       2006
      62243079         93       2006
      60909519         86       2006
      69684226         76       2006
      57568333         75       2006
      56031500         78       2006
      47294000         62       2006
      46717750         67       2006
      41233000         76       2006
      35417967         61       2006
      14998500         78       2006
